"","cluster","Mean.of.log.A","Mean.of.log.B","Mean.of.log.C","Mean.of.log.D","Mean.of.log.E","isClusterMember","maxMembership","membership.of.cluster.1","membership.of.cluster.2","membership.of.cluster.3","membership.of.cluster.4","membership.of.cluster.5","membership.of.cluster.6","membership.of.cluster.7"
"PIPOX",6,0.860740313742604,-0.155609432458467,1.19147002640937,-0.856748579304605,-1.0398523283889,FALSE,0.175739127554147,0.120107840778799,0.159446475695752,0.174514813287644,0.136076204371424,0.107969038365346,0.175739127554147,0.126146499946887
"IDS",7,-0.203559731791608,-0.690958267064436,-1.15852358914908,0.901074946892981,1.15196664111214,FALSE,0.175838458818501,0.116120594751205,0.132798667832709,0.147489810280179,0.161012816777872,0.131335735060818,0.135403916478716,0.175838458818501
"C17orf70",5,0.0160274574334506,1.1679517041302,0.751140268197121,-0.652062780504231,-1.28305664925654,FALSE,0.176151553957447,0.142546758077723,0.126921777834765,0.118053503297002,0.119923423556799,0.176151553957447,0.161526802042291,0.154876181233973
"PTGS1",6,0.671929172101315,0.230502357887654,1.15201275565205,-0.857110708606128,-1.19733357703489,FALSE,0.176214474414118,0.127103679420513,0.152619592725902,0.157176144146991,0.131705972439574,0.121373952739233,0.176214474414118,0.133806184113669
"JKAMP",5,-0.0836218258918962,0.952912762321002,1.07803382885238,-0.857966983529861,-1.08935778175162,FALSE,0.176262306031865,0.16289094643389,0.115244128918928,0.117910522943132,0.143500141356927,0.176262306031865,0.152106829075665,0.132085125239593
"NADK2",6,0.857033679894312,0.14681282621203,1.03930890303305,-0.825957847813151,-1.21719756132624,FALSE,0.177692365214097,0.114087033827023,0.167778873730181,0.170105937777562,0.122731320041588,0.110289118141253,0.177692365214097,0.137315351268296
"EPHA3",4,0.694742437630743,-0.50779126367431,1.39172709320837,-0.984869361822777,-0.593808905342032,FALSE,0.178466445695248,0.135510078241696,0.136340506560694,0.172500370110589,0.178466445695248,0.109230078832312,0.1574798076234,0.110472712936062
"THAP7",6,0.737032439632327,-0.756346243826365,1.39316838215648,-0.692723867484927,-0.681130710477512,FALSE,0.179366478512645,0.136757290379163,0.140473431076552,0.165970983827629,0.160523263837733,0.107044831395846,0.179366478512645,0.109863720970432
"ATPAF2",3,0.726626298259086,-1.6019490076977,0.935354915858167,-0.150603929898087,0.0905717234785322,FALSE,0.179949613049852,0.128487567661976,0.138910219894238,0.179949613049852,0.179300122766515,0.0946471026832906,0.174953053331644,0.103752320612484
"TRIM4",6,0.0791117507748098,0.751664853541492,1.11469121820941,-0.589470136138503,-1.35599768638721,FALSE,0.180119761788222,0.15674126029403,0.12332840412958,0.115726868133947,0.122745956714387,0.166060771962071,0.180119761788222,0.135276976977764
"RRAGB",6,0.688187570961743,-1.59106332150305,0.988867767266511,-0.12472299146055,0.0387309747353407,FALSE,0.180430537494624,0.132682880429577,0.136631833189988,0.173290617145107,0.177825186680876,0.0962417200406383,0.180430537494624,0.10289722501919
"ERC1",7,0.406793870478406,1.34298888092685,0.220697482786924,-1.12806178398965,-0.842418450202536,FALSE,0.180755229140867,0.10672578397601,0.153225182134614,0.165410601070204,0.132910567079711,0.135002540496671,0.125970096101922,0.180755229140867
"CRP",4,0.169712728995831,1.26677266457807,0.385726725219633,-1.43906012766734,-0.38315199112619,FALSE,0.180764609126544,0.119523970427614,0.129790197621035,0.164246156597846,0.180764609126544,0.141760830182743,0.112417365980364,0.151496870063854
"LRP10",5,-0.241903563672922,0.856240883164028,1.22834417374498,-0.951066694460041,-0.891614798776043,FALSE,0.180866954920536,0.179655398665682,0.104286546244365,0.112573149885241,0.162388503054921,0.180866954920536,0.141185729414954,0.119043717814301
"UQCRQ",6,0.745558744547488,-1.35403595771366,1.19660123951178,-0.348510714092204,-0.239613312253403,FALSE,0.181853103988616,0.133984240438762,0.138466572627814,0.172142261003957,0.171206123849863,0.0985046984386386,0.181853103988616,0.10384299965235
"MYO5B",5,-0.0698764492409246,1.42195994857807,0.478787538156331,-0.731227345989265,-1.09964369150422,FALSE,0.181994615748095,0.135369118245824,0.126434407824722,0.121027289696031,0.124348040281588,0.181994615748095,0.144088067091639,0.166738461112101
"WDFY1",7,0.56962622781885,1.00204237856304,0.479947870861641,-0.615611951125534,-1.436004526118,FALSE,0.182005701530695,0.105939142723029,0.169042029264069,0.143017219735915,0.100471501788056,0.129672611773876,0.169851793184359,0.182005701530695
"RNF146",3,0.466158442351229,0.984798091079048,0.574370706951354,-1.47741737332897,-0.547909867052661,FALSE,0.182127540810995,0.113703885399407,0.141664946751903,0.182127540810995,0.171032422662359,0.125785724966454,0.118695936940824,0.146989542468057
"RCHY1",4,-0.111955851474026,-0.866987446228702,-1.0310924208193,0.72886094710382,1.2811747714182,FALSE,0.182280945991585,0.115340276260522,0.131718633548332,0.1595016419162,0.182280945991585,0.122147158092029,0.129498531210677,0.159512812980656
"LIAS",6,-0.670815635010031,-0.842490979197547,-0.587046480479441,1.43086684297296,0.669486251714055,FALSE,0.182297372712376,0.17150036941247,0.101012836765555,0.0950096133658964,0.132091204283458,0.178995500664462,0.182297372712376,0.139093102795782
"SLC39A10",2,0.563884468756401,-1.34113341177655,-0.778727496722476,0.960262221093646,0.595714218648974,FALSE,0.182330028248833,0.0919842637345178,0.182330028248833,0.182204286212984,0.116875433574582,0.0912021237544998,0.173149324911817,0.162254539562766
"CD2AP",3,0.588415562125702,-1.51401606707445,-0.520374103144122,0.87350637931762,0.572468228775253,FALSE,0.182934787675712,0.0985963523347965,0.173995055144722,0.182934787675712,0.126209817171573,0.0918749263388952,0.180247328936429,0.146141732397872
"SDCCAG3",6,0.320197115070201,-0.829378336517563,1.61174212977952,-0.506156119163997,-0.596404789168156,FALSE,0.183212784416911,0.175873060532029,0.114739038029713,0.131261082091497,0.173878251066055,0.121861304974263,0.183212784416911,0.099174478889532
